pdb_id,resolution,r_free
1b72,2.35,0.277
1b79,2.3,0.293
1b7i,1.65,0.238
1b7n,1.8,
1b7s,2.0,
1b8g,2.37,0.242
1bao,2.2,
1bar,2.7,
1bbr,2.3,
1bcr,2.5,
1bd3,1.93,
1be4,2.4,
1be7,1.65,0.201
1bf4,1.6,0.288
1bfe,2.3,0.315
1bfg,1.6,
1bg2,1.8,0.288
1bgo,2.3,0.296
1bgw,2.7,0.277
1bi3,2.4,0.333
1bid,2.2,0.217
1bj4,2.65,0.226
1bjt,2.5,0.269
1bk9,2.0,0.226
1bkc,2.0,0.27
1bkd,2.8,0.281
1bkg,2.6,0.238
1bli,1.9,0.185
1bls,2.3,
1bm3,2.0,
1bmk,2.4,0.245
1bmp,2.8,0.308
1bn6,1.5,0.174
1bnw,2.25,
1boa,1.8,0.232
1bob,2.3,0.269
1boq,2.1,0.236
1boy,2.2,
1bph,2.0,
1bpm,2.9,
1bpq,1.8,
1brn,1.76,
1brq,2.5,
1bru,2.3,
1bse,2.0,
1bsu,2.0,0.258
1btg,2.5,
1btx,1.7,
1bu4,1.9,0.23
1bwh,1.8,0.233
1bxa,1.3,0.195
1bxm,2.15,0.229
1byi,0.97,
1byl,2.3,
1byw,2.6,0.286
1bz1,1.59,0.224
1bz7,2.5,
1bzx,2.1,0.238
1c0e,2.2,0.244
1c1v,1.98,0.248
1c25,2.3,0.296
1c2d,1.65,0.211
1c2i,1.47,0.208
1c3i,1.83,
1c52,1.28,0.224
1c6r,1.9,0.26
1c87,2.1,0.274
1c9l,2.9,0.263
1c9w,2.4,0.244
1c9z,2.4,0.1961
1ca0,2.1,0.323
1ca1,1.9,0.254
1ca8,2.1,
1cd0,1.9,0.24
1cd5,2.3,0.252
1cdl,2.0,
1cea,2.06,
1cef,2.04,0.24
1ceg,1.8,0.212
1cf7,2.6,
1cg5,1.6,0.232
1cgh,1.8,0.24
1cgl,2.4,
1ch9,1.8,0.1893
1chi,2.0,
1chk,2.4,0.175
1chn,1.76,
1chz,1.76,0.248
1cie,1.8,
1cih,1.8,
1cik,1.7,0.1926
1cip,1.5,0.235
1cjc,1.7,0.223
1cjd,1.85,0.205
1cjt,2.8,0.252
1ck4,2.2,0.299
1ckb,1.9,
1cku,1.2,0.178
1cl2,2.2,
1cmj,1.7,0.25
1cmp,1.9,
1cnh,2.05,
1col,2.4,
1cot,1.7,
1cp7,1.58,0.171
1cpq,1.72,
1cq3,1.85,0.242
1crg,2.0,
1ct2,1.65,
1ct4,1.6,
1cte,2.1,
1cux,1.75,
1cv8,1.75,0.239
1cvd,2.2,
1cvl,1.6,
1cvy,2.15,0.229
1cw9,1.55,0.232
1cwl,1.8,
1cwv,2.3,0.274
1cy8,2.45,0.295
1cyx,2.3,0.316
1czb,1.06,0.1639
1czm,2.0,
1czw,2.5,0.214
1d13,2.0,
1d1b,2.0,
1d24,1.9,
1d2w,1.89,
1d2y,2.06,
1d36,1.5,
1d3f,2.05,
1d3p,2.1,0.214
1d45,1.9,
1d4h,1.81,0.231
1d59,2.3,
1d5e,2.25,0.231
1d5x,2.45,0.268
1d6s,2.3,0.223
1d6y,2.4,0.231
1d7c,1.9,0.22
1d80,2.2,
1d87,2.25,
1d8i,2.05,0.26964
1da1,2.25,
1da9,1.7,
1daa,1.94,
1dak,1.6,0.21
1dan,2.0,0.218
1dbh,2.3,0.269
1dbm,2.7,
1dc6,2.0,0.291
1dcl,2.3,
1dcp,2.3,
1dcw,2.1,0.317
1dde,1.7,0.263
1ddl,2.7,0.159
1deo,1.55,0.2
1dev,2.2,0.276
1df5,2.7,0.315
1dg9,1.9,
1di8,2.2,0.226
1did,2.5,
1dit,2.3,
1div,2.6,0.276
1dj6,1.0,0.169
1dk0,1.77,0.213
1dlf,1.45,0.23
1dly,1.8,0.22
1dm1,1.99,0.2156
1dm6,1.95,0.255
1dm8,2.25,0.239
1dmh,1.7,0.218
1dnc,1.7,0.248
1dnl,1.8,0.233
1do5,2.75,0.283
1dpm,2.1,
1dq8,2.1,0.239
1drg,2.55,0.268
1drj,2.5,
1ds3,1.65,0.23
1dvp,2.0,0.254
1dw1,1.9,0.198
1dw2,2.2,0.229
1dw6,1.88,0.249
1dw9,1.65,0.189
1dwg,2.0,0.193
1dwt,1.4,0.243
1dy2,2.0,0.249
1dy4,1.9,0.22
1dy6,2.13,0.244
1dyi,1.9,
1dz0,1.75,0.214
1dz6,1.9,0.268
1dza,1.65,0.236
1e02,2.15,0.256
1e0x,1.65,0.162
1e1k,1.95,0.227
1e2q,1.7,0.23
1e32,2.9,0.283
1e39,1.8,0.247
1e4d,1.8,0.24271
1e4f,1.9,0.249
1e4n,2.1,0.269
1e4w,1.95,0.269
1e50,2.6,0.287
1e5j,1.85,0.222
1e5z,2.0,
1e62,2.3,0.25
1e63,2.3,0.24
1e6g,2.3,0.271
1e6q,1.35,0.146
1e7r,1.6,0.18
1e87,1.5,0.245
1e8f,2.9,0.312
1e8z,2.4,0.291
1e96,2.4,0.284
1e9e,1.6,0.219
1e9r,2.4,0.248
1eay,2.0,
1eb0,1.85,0.2563
1eb2,2.0,0.244
1ec5,2.5,0.304
1ec8,1.9,
1ecj,2.5,0.248
1ecr,2.7,0.314
1ede,1.9,
1edq,1.55,0.215
1eep,2.4,0.262
1eey,2.25,0.286
1eh6,2.0,0.218
1ehe,1.7,0.272
1ehk,2.4,0.264
1ehn,1.9,0.217
1ei1,2.3,0.266
1ei5,1.9,0.192
1eis,1.66,0.249
1ej1,2.2,0.235
1elj,1.85,0.2289
1elu,1.55,0.259
1emg,2.0,
1en3,0.985,0.1592
1enh,2.1,
1env,2.6,0.277
1eo4,1.9,0.305
1eod,2.45,0.234
1eog,2.1,0.2382
1eom,2.1,0.215
1ep9,2.4,0.223
1epr,2.3,
1epz,1.75,0.225
1eq9,1.7,0.242
1eqe,1.8,
1eqf,2.1,0.246
1eqw,2.3,0.283
1erq,1.9,
1err,2.6,0.299
1es3,2.2,0.245
1esl,2.0,0.239
1esu,2.0,
1et4,2.3,0.232
1et7,1.7,0.21
1etz,2.6,0.294
1euf,2.4,0.223
1euw,1.05,0.1638
1ev7,2.38,0.2868
1evr,1.9,0.218
1evx,2.0,0.229
1ew2,1.82,0.242
1ewd,2.464,0.234
1exn,2.5,0.339
1exs,2.39,0.282
1ey2,2.3,0.242
1eyq,1.85,0.262
1ezf,2.15,0.262
1f0j,1.77,0.223
1f0q,2.63,0.273
1f1s,2.1,0.253
1f2t,1.6,0.231
1f33,2.6,0.244
1f42,2.5,0.281
1f4t,1.93,0.274
1f4v,2.22,0.258
1f5r,1.65,0.22
1f6k,1.6,0.227
1f6m,2.95,0.247
1f6t,1.92,0.274
1f89,2.4,0.258
1f8m,1.8,0.247
1f8r,2.0,0.21
1f9f,1.9,0.294
1fao,1.8,0.232
1fb7,2.6,0.243
1fbp,2.5,
1fby,2.25,0.263
1fc3,2.0,0.258
1fcd,2.53,
1fce,2.0,0.21
1fcn,2.35,0.257
1fcs,1.6,
1fd9,2.41,0.28
1fdp,2.1,0.251
1fdq,2.1,0.257
1fdw,2.7,0.263
1fe5,2.45,0.271
1fe6,1.8,0.216
1ff4,1.5,0.244
1fhv,1.77,0.224
1fih,1.95,0.269
1fik,2.3,
1fiu,1.6,0.2038
1fj3,2.0,0.205
1fkh,1.95,
1flu,1.785,0.25
1flv,2.0,
1fmz,2.05,0.253
1fne,1.9,0.27
1fp5,2.3,0.27
1fp6,2.15,0.268
1fpd,2.1,
1fpj,2.2,
1fr6,2.5,
1frb,1.7,
1fs0,2.1,0.269
1fs9,2.0,0.208
1fst,2.7,0.261
1fun,2.85,
1fuo,1.98,0.206
1fus,1.3,
1fuu,2.5,0.2726
1fvh,2.8,0.283
1fvo,2.6,0.236
1fwt,1.9,0.222
1fx9,2.0,0.222
1fy2,1.2,0.23
1fz5,2.4,0.253
1fz9,2.3,0.26
1g0a,2.04,
1g0p,1.8,
1g39,1.22,0.278
1g3x,2.7,0.26607
1g3y,2.8,0.328
1g49,1.9,0.2531
1g50,2.9,0.31
1g52,1.8,0.215
1g5z,2.51,0.26
1g61,1.3,0.179
1g66,0.9,0.132
1g6l,1.9,0.284
1g6w,2.5,0.2696
1g7j,1.75,0.2285
1g7l,2.0,0.2403
1g8r,2.65,0.2712
1g9o,1.5,0.201
1ga6,1.0,0.1308
1ga9,2.1,0.249
1gbg,1.8,0.236
1gc6,2.9,0.283
1gcv,2.0,0.223
1gd6,2.5,0.2226
1gdl,1.8,
1ge7,2.0,0.2183
1geg,1.7,0.209
1ger,1.86,
1gey,2.3,0.257
1gf8,1.8,
1gfu,1.8,
1ggf,2.28,0.254
1ggl,2.31,0.286
1ghp,1.76,0.264
1gi3,1.44,0.235
1gi6,1.49,0.209
1gin,2.8,0.232
1giu,1.8,0.247
1gj7,1.5,0.23
1gjm,2.2,0.221
1gke,2.5,0.303
1gkk,1.6,0.173
1gla,2.6,
1glv,2.7,
1gnq,2.5,0.269
1gnr,1.85,0.257
1gnt,1.25,0.173
1goh,2.2,
1goq,1.8,0.212
1gpo,1.95,0.283
1gpq,1.6,0.212
1gqi,1.48,0.168
1gr7,1.8,0.20751
1gsy,2.44,
1gt9,1.38,0.208
1gtd,2.56,0.278
1gtg,2.3,0.2591
1gtu,2.68,0.245
1gua,2.0,
1gui,1.9,0.197
1gv1,2.5,0.305
1gv2,1.68,0.21
1gx0,1.8,0.211
1gx2,2.2,0.197
1gxf,2.7,0.25
1gxm,1.32,0.162
1gxo,2.05,0.228
1gy1,1.65,0.19
1gzm,2.65,0.2353
1h0a,1.7,0.228
1h0g,2.0,0.231
1h14,1.5,0.171
1h1m,1.9,0.204
1h2c,1.6,0.182
1h2n,2.84,0.257
1h3f,2.0,0.261
1h3l,2.375,0.27823
1h3m,2.4,0.333
1h4c,1.65,0.211
1h4n,2.0,0.207
1h60,1.6,0.182
1h6d,2.05,0.228
1h7a,2.75,0.258
1h7p,1.64,0.301
1h8d,1.4,0.22
1h8e,2.0,0.264
1h8n,1.87,0.276
1h8u,1.8,0.264
1h93,2.2,0.282
1h9r,1.9,0.225
1ha0,2.8,0.302
1har,2.2,0.27
1hb1,1.55,0.204
1hbn,1.16,0.19
1hcu,2.37,0.2323
1hd8,2.3,0.283
1he1,2.0,0.224
1heg,2.2,
1heo,1.8,
1hfx,1.9,
1hg2,2.0,0.21667
1hg8,1.73,0.203
1hgb,2.1,
1hgi,2.7,
1hgw,2.1,0.225
1hgx,1.9,0.234
1hh5,1.9,0.242
1hh8,1.8,0.204
1hia,2.4,0.311
1hib,2.4,
1hih,2.2,
1hiy,2.6,0.325
1hj9,0.95,0.1399
1hl8,2.4,0.228
1hmd,2.0,
1hmr,1.4,
1hn9,2.0,0.218
1hna,1.85,
1hop,2.3,0.227
1hp5,2.1,0.222
1hq0,1.83,0.214
1hrk,2.0,0.226
1ht0,2.0,0.231
1htz,2.4,0.261
1hug,2.0,
1hup,2.5,
1hvr,1.8,
1hvx,2.0,0.1966
1hw5,1.82,0.3
1hw7,2.2,0.2567
1hwh,2.9,0.317
1hxs,2.2,
1hxt,2.4,0.289
1hxw,1.8,
1hy2,2.0,0.258
1i01,2.6,0.25
1i08,2.2,0.211
1i09,2.7,0.274
1i0c,2.0,0.235
1i14,1.92,0.241
1i1k,2.1,0.231
1i2d,2.81,0.245
1i2n,2.05,0.216
1i30,2.4,0.277
1i31,2.5,0.2547
1i3a,2.15,0.272
1i3n,1.5,0.215
1i45,1.8,0.208
1i4k,2.5,0.264
1i53,1.8,0.259
1i54,1.5,0.247
1i57,2.1,0.266
1i59,1.8,0.253
1i5p,2.2,0.231
1i6t,1.2,0.17
1i70,1.7,0.178
1i76,1.2,0.171
1i7a,2.24,0.296
1i7b,1.9,0.241
1i7c,2.4,0.249
1i7d,2.05,0.26
1i7w,2.0,0.245
1i80,2.0,0.235
1i88,1.45,0.221
1i8d,2.0,0.299
1i9j,2.6,0.255
1ia8,1.7,0.235
1iay,2.7,0.29
1ibc,2.73,0.285
1ibq,2.14,0.269
1ibv,2.5,0.2793
1ick,0.95,
1idb,2.2,
1ido,1.7,
1idu,2.24,
1idw,1.8,0.202
1ie7,1.85,0.21
1ie9,1.4,0.248
1iei,2.5,0.199
1ieq,2.7,0.228
1iev,2.8,0.24
1igt,2.8,0.297
1ih1,2.0,0.245
1ihp,2.5,0.211
1ihs,2.0,
1ii0,2.4,0.252
1ii4,2.7,0.267
1ii6,2.1,0.255
1ijh,1.53,0.2127
1ijl,2.6,0.225
1ilg,2.52,0.279
1ilt,2.0,
1im2,2.8,0.25
1inw,2.4,
1ioz,2.0,0.283
1ipp,2.2,0.316
1iq6,1.5,0.231
1iqn,2.6,0.254
1ir6,2.9,0.259
1isc,1.8,
1isp,1.3,0.232
1isx,2.1,0.24
1ith,2.5,
1itk,2.0,0.203
1itw,1.95,0.228
1iu7,1.8,0.252
1iuv,2.5,
1iw2,1.9,0.25
1iwe,2.1,0.253
1iwp,2.1,0.247
1ix8,2.2,0.259
1ixb,0.9,0.1264
1ixi,1.89,0.294
1ixj,2.5,0.257
1ixp,2.3,0.266
1iy7,2.0,0.208
1iyd,2.15,0.242
1iza,2.5,
1izr,1.5,0.226
1j02,1.7,0.227
1j11,2.0,0.246
1j12,2.1,0.253
1j1t,2.0,0.248
1j3n,2.0,0.2576
1j4g,2.0,0.235
1j58,1.75,0.197
1j7j,2.3,0.2372
1j8y,2.0,0.2586
1j9q,1.65,0.21
1j9z,2.7,0.27
1jal,2.4,0.247
1jb8,2.38,0.251
1jbo,1.45,0.188
1jbz,1.5,
1jcs,2.2,0.202
1jct,2.75,0.274
1jd3,2.03,0.253
1jd9,2.5,0.245
1jdz,2.0,0.257
1jf4,1.4,0.213
1jfh,2.03,0.185
1jfr,1.9,0.186
1jg1,1.2,0.2
1jg6,1.9,0.226
1jgi,2.0,0.226
1jgu,1.8,0.229
1jh8,1.8,0.256
1jhc,2.0,0.278
1jhf,1.8,0.263
1ji1,1.6,0.206
1ji2,2.3,0.224
1ji5,2.5,0.291
1jip,2.0,0.2475
1jir,2.0,0.21
1jiy,1.9,0.212
1jiz,2.6,0.256
1jk7,1.9,0.225
1jkc,1.6,0.22
1jkh,2.5,0.303
1jkr,2.28,0.3245
1jl6,1.4,0.216
1jla,2.5,0.273
1jmv,1.85,0.242
1jmz,2.0,0.251
1joa,2.8,0.25
1jou,1.8,0.245
1jpc,2.0,0.22
1jpf,2.18,0.262
1jpu,1.8,0.2075
1jqd,2.28,0.257
1jqf,1.85,0.246
1jqh,2.1,0.219
1jqi,2.25,0.206
1jr4,2.63,0.28
1jrl,1.95,0.229
1jsx,2.4,0.275
1jtc,1.7,
1jte,2.0,0.285
1jtu,2.2,0.241
1jtx,2.85,0.284
1jug,1.9,0.229
1jvw,1.7,0.231
1jvx,2.5,0.304
1jwb,2.1,0.22494
1jwi,2.0,0.252
1jx4,1.7,0.228
1jxx,0.89,
1jy1,1.69,0.229
1jyn,1.8,0.219
1jzh,1.7,0.277
1jzi,1.62,0.247
1k1q,2.8,0.306
1k20,1.5,0.188
1k24,2.03,0.274
1k2p,2.1,0.287
1k3t,1.95,0.28
1k3w,1.42,0.2026
1k47,2.42,0.257
1k56,1.7,0.22068
1k5a,2.33,0.281
1k66,1.75,0.25
1k6e,1.85,0.201
1k6f,1.3,0.297
1k7v,2.2,0.31
1k94,1.7,0.2289
1kak,2.5,0.254
1kb2,2.7,0.289
1kb3,2.1,
1kba,2.3,
1kce,2.0,0.222
1kcm,2.0,0.2726
1kek,1.9,0.227
1kex,1.9,0.266
1kf3,1.05,
1kgy,2.7,0.2956
1kh3,2.15,0.256
1kic,1.6,0.194
1kie,2.0,0.215
1kiv,2.1,
1kjm,2.35,0.26803
1kjq,1.05,0.214
1kjz,1.85,0.255
1kk0,1.95,0.245
1kkt,2.2,0.239
1kl2,2.7,0.236
1kl7,2.7,0.2526
1kl9,1.9,0.23264
1kly,1.5,0.191
1kmo,2.0,0.245
1kn3,1.8,0.26667
1ko0,2.2,0.246
1ko4,2.5,0.30421
1kok,1.7,0.2072
1kol,1.65,0.206
1kpm,1.8,0.228
1ks3,2.16,
1ksn,2.1,
1ksp,2.3,0.241
1kto,1.9,0.185
1ku1,1.93,0.228
1ku7,2.4,0.293
1kug,1.37,0.202
1kuh,1.6,0.225
1kui,1.5,0.216
1kuu,2.2,0.248
1kux,1.8,0.225
1kv0,1.4,0.16448
1kvr,1.9,
1kw5,1.75,
1kxi,2.19,0.305
1kxv,1.6,0.229
1kyd,2.0,0.228
1kyt,1.7,0.246
1kyz,2.2,0.274
1kz8,2.0,0.21445
1kzp,2.1,0.202
1kzy,2.5,0.256
1l02,1.7,
1l06,1.7,
1l0z,1.5,0.209
1l1y,2.4,0.22444
1l38,1.8,
1l3i,1.95,0.257
1l3k,1.1,0.194
1l4k,2.2,0.207
1l5n,1.9,0.2
1l5o,1.6,0.199
1l6o,2.2,0.32316
1l6p,1.65,0.2255
1l71,1.85,
1l76,1.9,
1l7f,1.8,0.187
1l7n,1.8,0.225
1l84,1.9,
1l87,1.8,
1l8v,2.8,0.293
1l97,2.0,
1l9s,1.78,0.197
1la6,2.0,0.212
1lbe,2.4,0.299
1lbu,1.8,
1lck,2.5,
1lco,2.9,
1ldc,2.9,
1ldo,2.2,0.241
1le7,2.09,0.252
1leh,2.2,
1lfd,2.1,0.282
1lg1,2.78,0.269
1lgx,1.9,
1lh1,2.0,
1lhf,2.4,
1li1,1.9,0.202
1li2,2.0,
1ljt,2.0,0.262
1lju,1.4,0.2673
1lk2,1.35,0.1639
1ll6,2.8,0.256
1llm,1.5,0.234
1llp,1.7,
1lmi,1.5,0.2524
1lmk,2.6,
1lmo,1.8,
1ln8,1.65,0.22193
1log,2.1,
1lop,1.8,
1lor,1.6,0.196
1lp8,1.65,0.23
1lp9,2.0,0.25293
1lpz,2.4,0.279
1lqg,2.9,0.277
1lrq,1.8,0.228
1ls5,2.8,0.29
1lsw,2.2,0.265
1lu2,2.8,0.219
1lvb,2.2,0.263
1lw4,1.9,0.2057
1lw9,1.45,0.254
1lwc,2.62,0.279
1ly0,1.36,0.204
1lyn,2.75,
1lyq,1.5,0.258
1lzb,1.5,
1lzi,1.35,0.2
1lzz,2.05,0.266
1m1h,1.95,0.259
1m1o,1.95,0.25844
1m22,1.4,0.199
1m2d,1.05,0.162
1m2m,1.8,0.238
1m3q,1.9,0.2675
1m4i,1.5,0.205
1m4v,1.9,0.24
1m51,2.25,0.23665
1m5q,2.0,0.236
1m6r,1.54,0.191
1m6t,1.81,0.248
1m8e,2.9,0.28
1m8h,2.85,0.294
1m8s,1.9,0.209
1m9f,1.73,0.21965
1m9m,1.96,0.223
1m9x,1.7,0.23002
1may,1.8,
1mb1,2.1,0.29
1mb9,2.11,0.251
1mba,1.6,
1mbq,1.8,0.195
1mc3,2.6,0.28
1mc4,2.77,0.281
1mc5,2.6,0.249
1mcx,2.03,0.231
1mcy,1.7,
1md2,1.45,0.16432
1mdt,2.3,
1mf4,1.9,0.239
1mfb,2.1,
1mfv,2.0,0.19489
1mg4,1.504,0.18694
1mg6,1.6,0.209
1mg9,2.3,0.294
1mks,1.9,
1mn0,1.9,0.223
1mnk,2.2,
1mol,1.7,
1mp2,2.3,0.2622
1mpb,2.0,
1mpx,1.9,0.17802
1mqf,2.5,0.234
1mqh,1.8,0.231
1mqq,1.65,0.2285
1mqw,2.3,0.266
1mr3,1.6,0.235
1mrk,1.6,
1mrl,2.8,0.30379
1mt9,2.0,0.21
1mvh,2.3,0.269
1mx6,2.0,0.263
1mzb,1.8,0.2536
1mzf,2.4,0.244
1n1s,1.64,0.19375
1n40,1.06,0.15309
1n4g,1.8,0.21735
1n6a,1.7,0.217
1n6c,2.3,0.243
1n7f,1.8,0.222
1n7n,1.55,0.209
1n7z,2.0,0.24
1n8b,2.9,0.3
1n8v,1.39,0.20178
1n92,1.47,0.1831
1n9i,1.6,0.201
1n9k,2.2,0.23111
1n9w,2.3,0.262
1na7,2.4,0.273
1na8,2.3,0.27923
1nat,2.45,
1ndg,1.9,0.249
1ndh,2.1,
1ndj,1.81,0.312
1ndk,2.2,
1ndz,2.0,0.225
1nf4,2.05,0.27
1nfd,2.8,0.309
1nfp,1.6,
1nhc,1.7,0.209
1nhe,2.5,0.255
1nhv,2.9,0.28
1nhx,2.1,0.21718
1ni0,2.5,0.29
1ni3,2.8,0.265
1nib,2.7,
1nie,1.9,
1nkd,1.09,0.134
1nl2,2.3,0.274
1nl6,2.8,0.2979
1nm6,1.8,0.238
1nn0,1.6,0.265
1nnj,1.9,0.236
1nnu,2.5,0.227
1np1,2.0,0.278
1npa,2.0,
1npl,2.0,0.267
1npp,2.0,0.279
1nqb,2.0,0.23
1nqx,1.82,0.189
1ns2,1.95,0.229
1ns8,1.8,0.226
1ns9,1.6,0.195
1nsb,2.2,
1nst,2.3,0.257
1nua,2.85,0.269
1nue,2.0,
1nut,1.9,0.236
1nv4,1.9,0.236
1nvb,2.7,0.272
1nvf,2.8,0.242
1nvy,1.5,0.26294
1nwr,2.7,0.239
1nws,2.7,0.252
1nx9,2.2,0.18386
1nxt,2.34,0.23556
1nyt,1.5,0.16869
1nzn,2.0,0.2548
1nzy,1.8,
1o0n,1.5,0.241
1o1h,1.4,0.161
1o1p,1.8,0.245
1o22,2.0,0.238
1o24,2.0,0.2521
1o29,2.0,0.2323
1o2b,2.45,0.265
1o32,1.78,0.209
1o3k,1.43,0.193
1o3x,2.1,0.28951
1o4i,1.75,
1o4p,1.9,
1o4q,1.7,
1o5k,1.8,0.18593
1o5t,2.5,0.296
1o6g,1.4,0.216
1o6l,1.6,0.227
1o7j,1.0,0.1283
1o7m,1.75,0.187
1o7s,1.75,0.248
1o91,1.9,0.209
1o9s,1.75,0.222
1o9u,2.4,0.26
1o9v,1.75,0.235
1o9w,1.65,0.242
1oan,2.75,0.296
1ob6,0.89,0.0793
1obz,1.7,0.213
1oc0,2.28,0.252
1oc5,1.7,0.168
1ock,1.8,0.226
1od1,1.37,0.159
1odg,2.8,0.3561
1oe3,1.15,0.1482
1oe8,1.65,0.28
1oe9,2.05,0.264
1ofh,2.5,0.277
1ofu,2.1,0.2554
1ogg,1.97,0.238
1oh8,2.9,0.292
1ohr,2.1,
1ohy,2.8,0.229
1oi2,1.75,0.201
1oi3,2.0,0.239
1oi7,1.23,0.196
1oil,2.1,0.255
1oio,1.7,0.238
1oiz,1.88,0.226
1oj6,1.95,0.233
1ojk,1.5,0.173
1ok8,2.0,0.267
1omr,1.5,0.25
1ony,2.15,0.22
1oo6,2.0,0.286
1opm,2.1,0.259
1oq4,2.4,0.24158
1or0,2.0,0.184
1orw,2.84,0.246
1osc,2.15,0.26001
1osy,1.7,0.21016
1ot2,2.1,0.184
1otg,2.1,
1oti,1.4,0.161
1otn,1.97,0.2439
1oto,1.96,0.2298
1ouf,1.8,
1oup,2.3,0.26
1ov3,1.8,0.275
1ovb,2.3,
1ovd,2.25,0.202
1ovw,2.7,0.284
1ow7,2.6,0.26947
1owc,2.2,0.21
1owi,2.93,0.349
1oxb,2.3,0.266
1oxr,1.93,0.204
1oy3,2.05,0.2475
1oyh,2.62,0.258
1oys,2.4,0.2841
1oyt,1.67,0.205
1p1x,0.99,
1p34,2.7,0.27
1p3c,1.5,0.184
1p3n,1.55,0.247
1p3o,2.75,0.276
1p3u,1.75,0.287
1p3y,2.54,0.257
1p43,1.8,0.213
1p45,2.6,0.28969
1p49,2.6,0.301
1p4l,2.9,0.295
1p4x,2.2,0.285
1p4y,1.7,0.26
1p5d,1.6,0.17901
1p6c,2.0,0.246
1p6h,1.98,0.273
1p72,2.1,0.23175
1p7k,1.75,0.23
1p7s,1.5,0.266
1p80,1.65,0.202
1pa0,2.2,0.266
1pb3,1.7,0.216
1pbj,1.4,0.202
1pbv,2.0,0.226
1pcl,2.2,
1pcm,1.9,0.20113
1pe7,1.82,
1pe8,1.8,
1pe9,1.6,0.213
1per,2.5,
1ph8,2.36,0.256
1ph9,2.5,0.264
1phd,1.6,
1pif,2.3,0.208
1pj0,1.9,0.236
1pj1,1.95,0.221
1pj5,1.61,0.19825
1pjr,2.5,0.269
1pk5,2.4,0.235
1pkk,1.77,0.219
1pl5,2.5,0.288
1pll,2.8,
1plu,2.2,
1pmm,2.0,0.213
1pmo,2.3,0.233
1pnk,1.9,0.248
1po9,2.0,0.229
1ppd,2.0,
1ppp,1.9,
1ppt,1.37,
1prp,2.1,
1pry,1.97,0.25909
1ps9,2.2,0.243
1psw,2.0,0.225
1ptd,2.6,0.264
1ptf,1.6,
1ptm,1.96,0.267
1pu7,1.93,0.2223
1pua,2.3,0.277
1puo,1.85,0.23731
1pv9,2.0,0.27727
1pvc,2.4,
1pvd,2.3,
1pwb,1.4,0.228
1pwg,1.074,0.1458
